Filename	Artist	Album	Year	Trackno	Title
c:\music\Big Big Train\The Underfall Yard\Big Big Train-The Underfall Yard-Master James of St George-02.flac	Big Big Train	The Underfall Yard	2009	2	Master James of St George
c:\music\Big Big Train\The Underfall Yard\Big Big Train-The Underfall Yard-The Underfall Yard-06.flac	Big Big Train	The Underfall Yard	2009	6	The Underfall Yard
c:\music\Big Big Train\The Underfall Yard\Big Big Train-The Underfall Yard-Victorian Brickwork-03.flac	Big Big Train	The Underfall Yard	2009	3	Victorian Brickwork
c:\music\Big Big Train\The Underfall Yard\Big Big Train-The Underfall Yard-Winchester Diver-05.flac	Big Big Train	The Underfall Yard	2009	5	Winchester Diver
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d1t01.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d1t02.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d1t03.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d1t04.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d1t05.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d1t06.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d1t07.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d1t08.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d1t09.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d1t10.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d2t01.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d2t02.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d2t03.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d2t04.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d2t05.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d3t01.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d3t02.flac			0	0	
c:\music\gd1978-12-16.sonyecm250-no-dolby.walker-scotton.miller.82212.sbeok.flac16\gd78-12-16d3t03.flac			0	0	
